study_id,deeplink
C4591001_orig,https://pfizer-inform.oracleindustry.com/C4591001uat/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
A5481098,https://pfizer-inform.oracleindustry.com/A5481098/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
A8081067,https://pfizer-inform.oracleindustry.com/A8081067/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
A5481092,https://pfizer-inform.oracleindustry.com/A5481092/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3511001,https://pfizer-inform.oracleindustry.com/C3511001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7931018,https://pfizer-inform.oracleindustry.com/B7931018/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3941002,https://pfizer-inform.oracleindustry.com/C3941002/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7451028,https://pfizer-inform.oracleindustry.com/B7451028/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7451050,https://pfizer-inform.oracleindustry.com/B7451050/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
A3921377,https://pfizer-inform.oracleindustry.com/A3921377/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C0541001,https://pfizer-inform.oracleindustry.com/C0541001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
A7471058,https://pfizer-inform.oracleindustry.com/A7471058/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
PFE6324UAT,https://pfizer-inform.oracleindustry.com/PFE6324UAT/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7981029,https://pfizer-inform.oracleindustry.com/B7981029/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7841014,https://pfizer-inform.oracleindustry.com/B7841014/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
